Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,0.08358120918273926,21.9,22.2,0.0,0.0,0.0020720295845151624,0,0,0,0,0.0,0.0,True
L,0.08533143997192383,21.9,22.2,0.0,0.0,0.002064614408361221,0,0,0,0,0.0,0.0,True
L,0.08244800567626953,21.9,22.2,0.0,0.0,0.002080753429977246,0,0,0,0,0.0,0.0,True
L,0.07762765884399414,22.2,22.2,0.0,0.0,0.00207546107097709,0,0,0,0,0.0,0.0,True
L,0.07894039154052734,22.0,22.2,0.0,0.0,0.0020724728295663055,0,0,0,0,0.0,0.0,True
L,0.0771934986114502,22.4,22.2,0.0,0.0,0.002062872922888977,0,0,0,0,0.0,0.0,True
L,0.07632756233215332,22.0,22.2,0.0,0.0,0.0020784206541850803,0,0,0,0,0.0,0.0,True
L,0.07658720016479492,22.0,22.2,0.0,0.0,0.0020838534387201445,0,0,0,0,0.0,0.0,True
L,0.07629799842834473,22.2,22.2,0.0,0.0,0.0020741043992832876,0,0,0,0,0.0,0.0,True
L,0.07649588584899902,22.1,22.2,0.0,0.0,0.00207161111934703,0,0,0,0,0.0,0.0,True
L,0.07633113861083984,22.3,22.2,0.0,0.0,0.002067147781219412,0,0,0,0,0.0,0.0,True
L,0.08067584037780762,21.9,22.2,0.0,0.0,0.0020846795670504317,0,0,0,0,0.0,0.0,True
L,0.08875203132629395,22.0,22.2,0.0,0.0,0.002073667868924875,0,0,0,0,0.0,0.0,True
L,0.08531975746154785,21.8,22.2,0.0,0.0,0.0020637581769776523,0,0,0,0,0.0,0.0,True
L,0.08686351776123047,21.7,22.2,0.0,0.0,0.002073811446476676,0,0,0,0,0.0,0.0,True
L,0.08627176284790039,22.1,22.2,0.0,0.0,0.002069280787631962,0,0,0,0,0.0,0.0,True
L,0.08645963668823242,22.2,22.2,0.0,0.0,0.0020692322072474903,0,0,0,0,0.0,0.0,True
L,0.08613348007202148,22.1,22.2,0.0,0.0,0.0020875775370726027,0,0,0,0,0.0,0.0,True
L,0.08566570281982422,21.9,22.2,0.0,0.0,0.0020668189016633826,0,0,0,0,0.0,0.0,True
L,0.08552074432373047,22.1,22.2,0.0,0.0,0.0020789063116751303,0,0,0,0,0.0,0.0,True
L,0.0880429744720459,21.9,22.2,0.0,0.0,0.002075375353342595,0,0,0,0,0.0,0.0,True
L,0.08506226539611816,22.2,22.2,0.0,0.0,0.0020693322562391546,0,0,0,0,0.0,0.0,True
L,0.08580732345581055,21.6,22.2,0.0,0.0,0.0020752427087467776,0,0,0,0,0.0,0.0,True
L,0.08666205406188965,22.2,22.2,0.0,0.0,0.002073751628587352,0,0,0,0,0.0,0.0,True
L,0.08662676811218262,22.1,22.2,0.0,0.0,0.0020662576715472854,0,0,0,0,0.0,0.0,True
L,0.08705687522888184,22.0,22.2,0.0,0.0,0.002079197012631219,0,0,0,0,0.0,0.0,True
L,0.08849453926086426,22.2,22.2,0.0,0.0,0.0020715131446043525,0,0,0,0,0.0,0.0,True
L,0.08492803573608398,22.1,22.2,0.0,0.0,0.0020874669105298807,0,0,0,0,0.0,0.0,True
L,0.08925509452819824,21.8,22.2,0.0,0.0,0.002069871919088316,0,0,0,0,0.0,0.0,True
L,0.0875706672668457,21.9,22.2,0.0,0.0,0.0020668608069570197,0,0,0,0,0.0,0.0,True
L,0.08798050880432129,22.1,22.2,0.0,0.0,0.0020793671087623454,0,0,0,0,0.0,0.0,True
L,0.08692693710327148,21.9,22.2,0.0,0.0,0.0020719303166336035,0,0,0,0,0.0,0.0,True
L,0.08639311790466309,21.9,22.2,0.0,0.0,0.0020759167119093727,0,0,0,0,0.0,0.0,True
L,0.08640384674072266,22.0,22.2,0.0,0.0,0.002075487010239782,0,0,0,0,0.0,0.0,True
L,0.08642029762268066,22.3,22.2,0.0,0.0,0.0020663713200962186,0,0,0,0,0.0,0.0,True
L,0.09275197982788086,22.2,22.2,0.0,0.0,0.002081223516884197,0,0,0,0,0.0,0.0,True
L,0.0847465991973877,22.1,22.2,0.0,0.0,0.0020744998934883203,0,0,0,0,0.0,0.0,True
L,0.08786416053771973,21.9,22.2,0.0,0.0,0.0020692975556906284,0,0,0,0,0.0,0.0,True
L,0.09085464477539062,21.9,22.2,0.0,0.0,0.0020727595639347105,0,0,0,0,0.0,0.0,True
